file-name;out-dir;ollama-model;stt-engine;whisper-device;llm-temperature;seed
11-qwen2_5_1_5b_instruct_q4_K_M-t0_0-vosk_cpu.yaml;11-qwen2_5_1_5b_instruct_q4_K_M-t0_0-vosk_cpu;qwen2.5:1.5b-instruct-q4_K_M;vosk;cuda;0;null
12-qwen2_5_1_5b_instruct_q4_K_M-t0.7_s42-vosk_cpu.yaml;12-qwen2_5_1_5b_instruct_q4_K_M-t0.7_s42-vosk_cpu;qwen2.5:1.5b-instruct-q4_K_M;vosk;cuda;0.7;42
13-qwen2_5_3b_instruct_q4_K_M-t0_0-vosk_cpu.yaml;13-qwen2_5_3b_instruct_q4_K_M-t0_0-vosk_cpu;qwen2.5:3b-instruct-q4_K_M;vosk;cuda;0;null
14-qwen2_5_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu.yaml;14-qwen2_5_3b_instruct_q4_K_M-t0.7_s42-vosk_cpu;qwen2.5:3b-instruct-q4_K_M;vosk;cuda;0.7;42
15-qwen2_5_7b_instruct_q4_K_M-t0_0-vosk_cpu.yaml;15-qwen2_5_7b_instruct_q4_K_M-t0_0-vosk_cpu;qwen2.5:7b-instruct-q4_K_M;vosk;cuda;0;null
16-qwen2_5_7b_instruct_q4_K_M-t0.7_s42-vosk_cpu.yaml;16-qwen2_5_7b_instruct_q4_K_M-t0.7_s42-vosk_cpu;qwen2.5:7b-instruct-q4_K_M;vosk;cuda;0.7;42
17-gemma3_1b_it_q4_K_M-t0_0-vosk_cpu.yaml;17-gemma3_1b_it_q4_K_M-t0_0-vosk_cpu;gemma3:1b-it-q4_K_M;vosk;cuda;0;null
18-gemma3_1b_it_q4_K_M-t0.7_s42-vosk_cpu.yaml;18-gemma3_1b_it_q4_K_M-t0.7_s42-vosk_cpu;gemma3:1b-it-q4_K_M;vosk;cuda;0.7;42
19-gemma3_4b_it_q4_K_M-t0_0-vosk_cpu.yaml;19-gemma3_4b_it_q4_K_M-t0_0-vosk_cpu;gemma3:4b-it-q4_K_M;vosk;cuda;0;null
20-gemma3_4b_it_q4_K_M-t0.7_s42-vosk_cpu.yaml;20-gemma3_4b_it_q4_K_M-t0.7_s42-vosk_cpu;gemma3:4b-it-q4_K_M;vosk;cuda;0.7;42
21-gemma3_27b_it_q4_K_M-t0_0-vosk_cpu.yaml;21-gemma3_27b_it_q4_K_M-t0_0-vosk_cpu;gemma3:27b-it-q4_K_M;vosk;cuda;0;null
22-gemma3_27b_it_q4_K_M-t0.7_s42-vosk_cpu.yaml;22-gemma3_27b_it_q4_K_M-t0.7_s42-vosk_cpu;gemma3:27b-it-q4_K_M;vosk;cuda;0.7;42
23-qwen2_5_32b_instruct_q4_K_M-t0_0-vosk_cpu.yaml;23-qwen2_5_32b_instruct_q4_K_M-t0_0-vosk_cpu;qwen2.5:32b-instruct-q4_K_M;vosk;cuda;0;null
24-qwen2_5_32b_instruct_q4_K_M-t0.7_s42-vosk_cpu.yaml;24-qwen2_5_32b_instruct_q4_K_M-t0.7_s42-vosk_cpu;qwen2.5:32b-instruct-q4_K_M;vosk;cuda;0.7;42
25-llama3_2_1b_instruct_q4_K_M-t0_0-whisper-gpu.yaml;25-llama3_2_1b_instruct_q4_K_M-t0_0-whisper-gpu;llama3.2:1b-instruct-q4_K_M;whisper;cuda;0;null
26-llama3_2_3b_instruct_q4_K_M-t0_0-whisper-gpu.yaml;26-llama3_2_3b_instruct_q4_K_M-t0_0-whisper-gpu;llama3.2:3b-instruct-q4_K_M;whisper;cuda;0;null
27-llama3_1_8b_instruct_q4_K_M-t0_0-whisper-gpu.yaml;27-llama3_1_8b_instruct_q4_K_M-t0_0-whisper-gpu;llama3.1:8b-instruct-q4_K_M;whisper;cuda;0;null
28-llama3_1_8b_instruct_q8_0-t0_0-whisper-gpu.yaml;28-llama3_1_8b_instruct_q8_0-t0_0-whisper-gpu;llama3.1:8b-instruct-q8_0;whisper;cuda;0;null
29-llama3_1_8b_instruct_fp16-t0_0-whisper-gpu.yaml;29-llama3_1_8b_instruct_fp16-t0_0-whisper-gpu;llama3.1:8b-instruct-fp16;whisper;cuda;0;null
30-qwen2_5_1_5b_instruct_q4_K_M-t0_0-whisper-gpu.yaml;30-qwen2_5_1_5b_instruct_q4_K_M-t0_0-whisper-gpu;qwen2.5:1.5b-instruct-q4_K_M;whisper;cuda;0;null
31-qwen2_5_3b_instruct_q4_K_M-t0_0-whisper-gpu.yaml;31-qwen2_5_3b_instruct_q4_K_M-t0_0-whisper-gpu;qwen2.5:3b-instruct-q4_K_M;whisper;cuda;0;null
32-qwen2_5_7b_instruct_q4_K_M-t0_0-whisper-gpu.yaml;32-qwen2_5_7b_instruct_q4_K_M-t0_0-whisper-gpu;qwen2.5:7b-instruct-q4_K_M;whisper;cuda;0;null
33-gemma3_1b_it_q4_K_M-t0_0-whisper-gpu.yaml;33-gemma3_1b_it_q4_K_M-t0_0-whisper-gpu;gemma3:1b-it-q4_K_M;whisper;cuda;0;null
34-gemma3_4b_it_q4_K_M-t0_0-whisper-gpu.yaml;34-gemma3_4b_it_q4_K_M-t0_0-whisper-gpu;gemma3:4b-it-q4_K_M;whisper;cuda;0;null
35-gemma3_27b_it_q4_K_M-t0_0-whisper-gpu.yaml;35-gemma3_27b_it_q4_K_M-t0_0-whisper-gpu;gemma3:27b-it-q4_K_M;whisper;cuda;0;null
36-qwen2_5_32b_instruct_q4_K_M-t0_0-whisper-gpu.yaml;36-qwen2_5_32b_instruct_q4_K_M-t0_0-whisper-gpu;qwen2.5:32b-instruct-q4_K_M;whisper;cuda;0;null
